ID;menmonico;Nome;Prazo;Sinonímia;Coleta;Material;Metodologia;coleta2;encaminhamento;finalidade do exame;interferente;paciente;instruções Material Coleta;instruções Paciente;instruções Coleta;Instruções Encaminhamento
2327;CG11;CURVA GLICEMICA [11D /EST DEXTROSOL];01 dia útil;TTGO (11 dosagens), Teste oral de tolerância à glicose (11 dosagens);COLETA757, VOLUME331;Plasma;Colorimétrico - Enzimático;"- (CG11)COLETA:Plasma fluoretado.
Realizar a coleta basal e nos tempos preconizados após estímulo, ou seja, com sobrecarga de dextrosol (50, 75 gramas) usando o tubo com fluoreto.
Coleta preferencialmente pela manhã. Tempos p/ coleta, conforme solicitação médica. Dose de dextrosol: adultos 75g, crianças 1,75g/kilo de peso.
Não agendar exames de imagem junto com a curva, marcar em dias diferentes.
""Restrição absoluta: Este exame NÃO pode ser realizado em pacientes pós-cirurgia bariátrica"".REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.
Volume insuficiente de amostra.
Acondicionamento e/ou transporte fora do padrão.- (CG11)VOLUME MÍNIMO:1 mL.";"- (CG11)ENCAMINHAMENTO:	Refrigerado 2°C - 8°C.
ESTABILIDADE:Temperatura ambiente: 24 horas.
Refrigerada (2°C-8°C): 7 dias.
Congelada (-20°C): 30 dias.";A curva glicêmica tem a finalidade de se avaliar a reserva insulínica pancreática em relação à resposta aos estímulos hiperglicêmicos.;;"- (CG11)PACIENTE:Exame somente agendado. Este exame compreende dosagens seriadas de glicose, após a sobrecarga com dextrosol por via oral, conforme solicitação médica.
Preparo para o exame: Manter dieta habitual, sem restrição de carboidratos (massas, açúcar e doces), no mínimo 3 dias antes exame. Não fazer uso de laxante ou ingesta de bebida alcoólica na véspera do exame.
Evitar esforço físico não habitual antes do exame (no mesmo dia do exame).
Se estiver com diarreia até 2 dias antes do dia do teste, este deverá ser reagendado.
Este exame não é realizado em pacientes que tenham feito cirurgia bariátrica.
Este exame não é realizado em pacientes com diagnóstico confirmado de diabetes mellitus.
Não agendar outros exames com uso prévio de substâncias antes da coleta no mesmo dia.
Não agendar exames de imagem no mesmo dia deste exame.JEJUM:Este exame requer um jejum de 8 horas. Para bebês ou até 2 anos: jejum de duas horas após mamada ou logo antes da próxima mamada. Crianças acima de 2 anos: 2 a 3 horas de jejum, ou conforme orientação do profissional solicitante. ";;;;
2329;GATM;ATAXIA TELEANGIECTASIA - GENE ATM;40 dias úteis;GENE ATM, Síndrome de Louis-Bar;COLETA207;Sangue total (EDTA);;- (GATM)COLETA:Sangue total com EDTA (2 tubos / 10 mL).Coleta: punção venosa em tubo com EDTA (tampa roxa). Enviar para o laboratório imediatamente após a coleta.REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.                                                                                             Amostra sem pedido médico e documento(s) obrigatório(s). ;- (GATM)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: não se aplica.Refrigerada (2°C-8°C): 5 dias.Congelada (-20°C): não se aplica.;A ataxia-telangiectasia (A-T) é uma doença hereditária caracterizada por descoordenação motora, dilatação capilar e uma imunodeficiência que causa uma suscetibilidade aumentada às infecções. A A-T é uma doença autossômica recessiva causada por mutações de inativação do gene ATM (11q22.3). Este teste tem a finalidade de identificar mutações gênicas responsáveis pelo desenvolvimento desta doença.;;- (GATM)PACIENTE:É obrigatório envio da cópia do pedido médico e os documentos FRCOL187: Termo de consentimento para exames genéticos e FRCOL181: Questionário para testes genéticos preenchidos corretamente.Não coletar o exame em véspera de feriado, feriados ou aos finais de semana.JEJUM:Jejum não obrigatório ou conforme orientações do profissional solicitante.;;;;
2331;MGER;MAGNESIO ERITROCITARIO [SANGUE TOTAL COM EDTA];13 dias úteis;"Dosagem de Mg eritrocitário;";COLETA742, VOLUME315;Sangue total (EDTA);Espectrometria de massa com plasma acoplado indutivamente (ICP/MS);"- (MGER)COLETA:Sangue total com EDTA (1 tubo). Coleta: punção venosa em tubo com EDTA (tampa roxa).
**Não coletar o material em véspera de feriado, feriado e finais de semana.**.
REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.
Amostra coagulada.Amostras colhidas com anticoagulante heparina.- (MGER)VOLUME MÍNIMO:
1,0 mL.
";"- (MGER)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.
ESTABILIDADE:Temperatura ambiente: 4 dias.
Refrigerada (2°C-8°C): 7 dias.
Congelada (-20°C): não se aplica.";Magnésio eritrocitário reflete a concentração intracelular de magnésio, e pode ter uma relação inversa com a hipertensão.;;"- (MGER)PACIENTE:O paciente deve abster-se de tomar vitaminas ou suplementos de ervas minerais, pelo menos, uma semana antes da coleta da amostra.Não coletar o material em véspera de feriado, feriado e finais de semana.
JEJUM:Jejum não obrigatório ou conforme orientações do profissional solicitante.";;;;
2332;LTPLE;LEISHMANIOSE TEGUMENTAR, PESQUISA [LESAO];04 dias úteis;Leishmaniose tegumentar,  , Leishmania,  pesquisa em lesão de pele ou mucosa;COLETA290;Amostra de lesao;Microscopia - Coloração pelo May Grunwald Giemsa;- (LTPLE)COLETA:Realizar 4 esfregaços da lesão.A área ao redor da lesão deve ser limpa com gaze embebida em álcool a 70%.Remover crostas e excesso de secreção com salina e gaze estéril.Lavar abundantemente a lesão com solução fisiológica estéril.Essa limpeza deve ser feita para que não haja contaminação do esfregaço por microrganismos da pele que normalmente recobrem a úlcera.Secar a lesão com gaze esterilizada e raspar com alça bacteriológica as bordas da lesão tentando, delicadamente, alcançar a região do fundo da úlcera, logo abaixo da borda.Outro método simples, consiste em comprimir a lâmina contra a superfície cruenta da lesão, após remover crostas ou escarificar as lesões não ulceradas, forcando a saída do exsudato onde poderão ser encontrados os parasitas.Enviar o mais rápido possível.REJEIÇÃO DE AMOSTRA:Materiais recebidos de forma inadequada.;- (LTPLE)ENCAMINHAMENTO:Temperatura ambiente.ESTABILIDADE:Temperatura Ambiente: 72 horas.Refrigerado  (2-8 ºC):  não se aplica.Congelado (-20°C):  não se aplica.;O exame tem como finalidade o diagnóstico da leishmaniose cutânea. Apresenta sensibilidade  baixa no caso de lesões cutâneas sendo aconselhável a realização concomitante de intradermorreação de Montenegro, de sorologia e de cultura em meio NNN. Para a doença de Calazar a pesquisa do parasita em esfregaço de medula óssea é bastante sensível.;;- (LTPLE)PACIENTE:Coleta somente de 2a a 6a feira ate 11h. Não coletar em véspera de feriado, feriado e finais de semana.Não  usar medicação tópica nas 48 horas que antecedem o exame.JEJUM:Não se aplica.;;;;
2333;PNFMAT;PAINEL DE NEUROFIBROMATOSE;34 dias úteis;Sequenciamento e análise dos genes NF1 NF2 SPRED1 , Neurofibromatose tipo 1,  NF2 (Neurofibromatose tipo 2) e SPRED1 (Síndrome de Legius);COLETA207, VOLUME310;Sangue total (EDTA);;"- (PNFMAT)COLETA:Sangue total com EDTA (2 tubos / 10 mL).Coleta: punção venosa em tubo com EDTA (tampa roxa). Enviar para o laboratório imediatamente após a coleta.REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.                                                                                             Amostra sem pedido médico e documento(s) obrigatório(s). - (PNFMAT)VOLUME MÍNIMO:

Adulto: 4 mL.
Bebês: 2 mL.
";- (PNFMAT)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: não se aplica.Refrigerada (2°C-8°C): 5 dias.Congelada (-20°C): não se aplica.;"Neurofibromatose tipo 1 (NF1) é uma condição caracterizada por múltiplas manchas cafécomleite, efélides axilares e inguinais, múltiplos neurofibromas cutâneos e nódulos de Lisch na íris. Dificuldades de aprendizagem podem estar presentes em pelo menos 50% dos indivíduos com NF1. O diagnóstico de NF1 é geralmente baseado em achados clínicos. A incidência da neurofibromatose tipo 2 (NF2) está estimada em 1:50.000. Seu diagnóstico baseia se no exame clínico das complicações e por técnicas de imagem. A síndrome de Legius possui apresentação clínica muito similar à NF1, e é causada por mutações em heterozigose no gene SPRED1. O exame auxilia no diagnóstico das neurofibromatoses com a confirmação de variantes patogênicas heterozigotas nos genes NF1, NF2 e SPRED1. Este teste não deve ser realizado em transplantados de medula óssea, já que este transplante falseia o resultado.

Genes analisados (3): NF1, NF2 e SPRED1 

Metodologia utilizada: NGS";;- (PNFMAT)PACIENTE:É obrigatório envio da cópia do pedido médico e os documentos FRCOL187: TERMO DE CONSENTIMENTOS PARA EXAMES GENÉTICOS e FRCOL181: QUESTIONÁRIO PARA TESTES GENÉTICOS preenchidos corretamente.JEJUM:Jejum não obrigatório ou conforme orientações do profissional solicitante.;;;;
2334;GNF2;NEUROFIBROMATOSE TIPO 2 (MLPA GENE NF2);32 dias úteis;NF2 (Neurofibromatose Tipo 2);;Sangue total (EDTA);;;;;;;"
Sangue total com EDTA";"Instruções de jejum:
Jejum desejavel de 3 horas";"Instruções de paciente:
Este exame e realizado somente com solicitação 
medica (anexar copia).
INDISPENSAVEL preenchimento do termo de 
Consentimento para Exames Genéticos e do 
questionário para testes genéticos.";"Instruções de coleta:
Sangue total com EDTA (02 tubos EDTA)

Coleta: puncao venosa em tubo com EDTA (tampa
roxa)

Enviar para a AFIP-central imediatamente apos a
coleta."
2335;;CARIOTIPO BANDA G - TECNICA ALTA RESOLUCAO;32 dias úteis;Cariótipo com banda G para doenças hematológicas;;Sangue total heparinizado;;;;;;;"
Sangue total heparinizado";"Instruções de jejum:
Jejum desejavel de 3 horas.";"Instruções de paciente:
Este exame e realizado somente com solicitacao
medica.
INDISPENSAVEL preenchimento do Questionario para
Cariotipo.

Recebemos material de 2a a 5a feira,
Nao coletar esse exame aos finais de semana,
em vespera de feriados e feriados.";"Instruções de coleta:
Sangue total heparinizado


Sangue total colhido em tudo de
heparina sodica 

Adulto: 5 a 10 mL
Recem nascidos: 3 a 5 mL"
2338;ABACE;ÁCIDO BUTOXIACÉTICO;24 dias úteis;BAA;COLETA309;Urina;Cromatografia Gasosa + Espectrometria De Massa;- (ABACE)COLETA:Coletar em frasco universal não esteril (tampa branca e/ou transparente).REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.;- (ABACE)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: não se aplica.Refrigerada (2°C-8°C): 5 dias.Congelada (-20°C): 30 dias.;O ácido butoxiacéticoé um dos conjugados do 2- butoxietanol, metabólito do 2,4- diclorofenoxiacetato 2-Butoxietil Ester, cuja via de excreção principal é a urinária. O 2,4- D BEE é um herbicida hormonal do grupo dos ácidos ariloxialcanóicos usado para o controle de plantas daninhas de várias culturas. O 2- butoxietanol é utilizado como solvente em revestimentos como lacas, vernizes, esmaltes e em venizes e seus removedores, tintas de látex, assim como em produtos de limpeza de metais e outros produtos domésticos. 2- butoxietanol é imediatamente absorvido em seguida à exposição oral, pela pele ou inalação e é matabolizado, via álcool e aldeído desidrogenases, com a formação de ácidos 2-butoxiacetaldeído e 2-butoxiacético, o seu principal metabólito, embora outras vias tenham sido também identificadas.Sua medida na urina permite  a avaliação de exposição ao 2,4- D BEE.;;- (ABACE)PACIENTE:Exame realizado em amostra de urina isolada ou conforme solicitação médica.Para mulheres: Não fazer uso de creme/óvulo vaginal nas 24 horas que antecedem o exame e não estar em período menstrual.Informar medicação em uso.JEJUM:Jejum não obrigatório ou conforme orientações do profissional solicitante.;;;;
2339;4CCATE;4 CLOROCATECOL;16 dias úteis;Dosagem de CLOROCATECOL a urina;COLETA277, Volume8;Urina amostra isolada;;"- (4CCATE)COLETA:Coletar em frasco universal não esteril (tampa branca e/ou transparente).REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.- (4CCATE)VOLUME MÍNIMO:

10 mL.
";- (4CCATE)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: não se aplica.Refrigerada (2°C-8°C): 2 dias.Congelada (-20°C): 30 dias.;O 4-clorocatecol é um biomarcador para o clorobenzeno que por sua vez é um hidrocarboneto halogenado aromático, que é usado como um solvente e é absorvida pelos pulmões e acima de tudo por via dérmica. O teste auxilia na monitorização de pessoas ocupacionalmente expostas.;;- (4CCATE)PACIENTE:Exame realizado em amostra de urina isolada ou conforme solicitação médica.Para mulheres: Não fazer uso de creme/óvulo vaginal nas 24 horas que antecedem o exame e não estar em período menstrual.Informar medicação em uso.JEJUM:Jejum não obrigatório ou conforme orientações do profissional solicitante.;;;;
2340;A2ETO;ACIDO 2 ETOXIACETICO;22 dias úteis;ÁCIDO 2 ETOXIACÉTICO;COLETA277, Volume8;Urina amostra isolada;;"- (A2ETO)COLETA:Coletar em frasco universal não esteril (tampa branca e/ou transparente).REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.- (A2ETO)VOLUME MÍNIMO:

10 mL.
";- (A2ETO)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: não se aplica.Refrigerada (2°C-8°C): 5 dias.Congelada (-20°C): 30 dias.;O metabólito do ácido 2 etoxiacético é o dissulfeto de carbono, o qual possui alta volatilidade, odor desagradável e é altamente inflamável. Seus efeitos toxicológicos são separados conforme a exposição aguda e crônica, sendo os sintomas da exposição aguda os seguintes: irritação e queimadura, dor de cabeça, náuseas, tonturas, fadiga e falta de consciência. Já os efeitos crônicos são: anormalidades em espermatozoides, aborto espontâneo, problemas cardiovasculares, perda da coordenação motora em braços e pernas, depressão, ansiedade e irritabilidade além de afetar o fígado e rins. Este teste mede a quantidade deste composto está presente no organismo.;;- (A2ETO)PACIENTE:Exame realizado em amostra de urina isolada ou conforme solicitação médica.Para mulheres: Não fazer uso de creme/óvulo vaginal nas 24 horas que antecedem o exame e não estar em período menstrual.Informar medicação em uso.JEJUM:Jejum não obrigatório ou conforme orientações do profissional solicitante.;;;;
2341;ZVIGG;ZIKA VIRUS ANTICORPOS IGG;07 dias úteis;detecção de anticorpos para Zika-IgG, Anticorpos IgG para Zika;COLETA1, Volume1;Soro;Imunoensaio enzimático;"- (ZVIGG)COLETA:Punção venosa em tubo seco (tampa vermelha) ou seco com gel separador (tampa amarela).REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.
Hemólise acentuada.
Lipêmia acentuada.
Icterícia acentuada.
- (ZVIGG)VOLUME MÍNIMO:1 mL. ";"- (ZVIGG)ENCAMINHAMENTO:
Refrigerado 2°C - 8°C.

ESTABILIDADE:
Temperatura ambiente: Não se aplica.
Refrigerada (2°C-8°C): 14 dias.
Congelada (-20°C): Não se aplica.

";Exame utilizado na avaliação de pacientes com quadro clínico sugestivo de febre Zika, principalmente em indivíduos residentes em regiões onde há notificações da doença. A detecção de anticorpos IgG pode significar infecção pregressa mas também reação cruzada com outros flavivirus. O diagnóstico laboratorial específico de Zika baseia-se, principalmente, na detecção do RNA do virus por PCR.;;"- (ZVIGG)PACIENTE:
Não se aplica.
JEJUM:
Não obrigatório.
";;;;
2342;ZVS;ZIKA VIRUS ANTICORPOS IGM;07 dias úteis;detecção de anticorpos para Zika- IgM, Anticorpos IgM para Zika;COLETA1, VOLUME401;Soro;Imunoensaio enzimático;"- (ZVIGM)COLETA:Punção venosa em tubo seco (tampa vermelha) ou seco com gel separador (tampa amarela).REJEIÇÃO DE AMOSTRA:Coleta em tubo ou recipiente não padronizado.Volume insuficiente de amostra.Acondicionamento e/ou transporte fora do padrão.
Hemólise acentuada.
Lipêmia acentuada.
Icterícia acentuada.
- (ZVIGM)VOLUME MÍNIMO:
1,0 mL.";- (ZVIGM)ENCAMINHAMENTO:Refrigerado 2°C - 8°C.ESTABILIDADE:Temperatura ambiente: não se aplica.Refrigerada (2°C-8°C): 14 dias.Congelada (-20°C): não se aplica.;Exame utilizado na avaliação de pacientes com quadro clínico sugestivo de febre Zika, principalmente em indivíduos residentes em regiões onde há notificações da doença. Os anticorpos IgM começam a aparecer por volta do 3° dia após o aparecimento dos sintomas, mas a detecção isolada do anticorpo IgM, não confirma o diagnóstico. O diagnóstico laboratorial específico de Zika baseia-se, principalmente, na detecção de RNA do virus por PCR.;;- (ZVIGM)PACIENTE:Não se aplica.JEJUM:Não se aplica;;;;
